Series,Rodet Diameter,Bandes,velocitat,power,Re,Np,logRe,logNp,Circular,Disc,Helix,Turbina
A1.3,0.06,0,11.666666666666666,25.5,686274.5098039214,20.651117589893104,13.439032986729362,3.0277694385185137,0,0,1,0
A1.3,0.06,0,18.333333333333332,36.0,1078431.3725490195,7.51314800901578,13.89101811047242,2.0166545535810716,0,0,1,0
A1.3,0.06,0,20.0,40.0,1176470.588235294,6.430041152263375,13.978029487462049,1.8609809382700082,0,0,1,0
A1.3,0.06,0,1.6666666666666667,14.0,98039.2156862745,3888.8888888888887,11.493122837674049,8.265878763135332,0,0,1,0
A1.3,0.06,0,3.3333333333333335,14.0,196078.431372549,486.1111111111111,12.186270018233994,6.1864372214554955,0,0,1,0
A1.3,0.06,0,5.0,15.0,294117.6470588235,154.32098765432102,12.591735126342158,5.039034768617954,0,0,1,0
A1.3,0.06,0,6.666666666666667,17.5,392156.862745098,75.9548611111111,12.87941719879394,4.330139231089869,0,0,1,0
A1.3,0.06,0,8.333333333333334,19.5,490196.07843137253,43.333333333333336,13.102560750108148,3.7689221617874726,0,0,1,0
A1.3,0.06,0,10.0,22.0,588235.294117647,28.292181069958854,13.284882306902103,3.342585479194224,0,0,1,0
A1.3,0.06,0,11.666666666666666,25.0,686274.5098039214,20.246193715581477,13.439032986729362,3.007966811222334,0,0,1,0
A1.3,0.06,0,18.333333333333332,37.5,1078431.3725490195,7.826195842724771,13.89101811047242,2.0574765481013264,0,0,1,0
A1.3,0.06,0,20.0,40.0,1176470.588235294,6.430041152263375,13.978029487462049,1.8609809382700082,0,0,1,0
C2.1,0.03,4,1.6666666666666667,7.8,49019.60784313725,69333.33333333333,10.799975657114103,11.146681070015346,1,0,0,0
C2.1,0.03,4,3.3333333333333335,10.0,98039.2156862745,11111.11111111111,11.493122837674049,9.315700887634009,1,0,0,0
C2.1,0.03,4,5.0,13.0,147058.82352941175,4279.835390946503,11.898587945782213,8.361669827777007,1,0,0,0
C2.1,0.03,4,6.666666666666667,17.4,196078.431372549,2416.666666666666,12.186270018233994,7.790144459180611,1,0,0,0
C2.1,0.03,4,8.333333333333334,24.0,245098.03921568627,1706.6666666666665,12.409413569548203,7.442297429365444,1,0,0,0
C2.1,0.03,4,10.0,31.0,294117.6470588235,1275.7201646090537,12.591735126342158,7.151266133120781,1,0,0,0
C2.1,0.03,4,11.666666666666666,40.0,343137.2549019607,1036.6051182377716,12.745885806169417,6.943706343267796,1,0,0,0
C2.1,0.03,4,1.6666666666666667,8.0,49019.60784313725,71111.11111111111,10.799975657114103,11.171998877999636,1,0,0,0
C2.1,0.03,4,3.3333333333333335,10.0,98039.2156862745,11111.11111111111,11.493122837674049,9.315700887634009,1,0,0,0
C2.1,0.03,4,5.0,13.0,147058.82352941175,4279.835390946503,11.898587945782213,8.361669827777007,1,0,0,0
C2.1,0.03,4,6.666666666666667,17.6,196078.431372549,2444.4444444444443,12.186270018233994,7.801573155004234,1,0,0,0
C2.1,0.03,4,8.333333333333334,23.0,245098.03921568627,1635.5555555555554,12.409413569548203,7.399737814946648,1,0,0,0
C2.1,0.03,4,10.0,31.0,294117.6470588235,1275.7201646090537,12.591735126342158,7.151266133120781,1,0,0,0
C2.1,0.03,4,11.666666666666666,40.0,343137.2549019607,1036.6051182377716,12.745885806169417,6.943706343267796,1,0,0,0
C2.3,0.03,0,1.6666666666666667,8.0,49019.60784313725,71111.11111111111,10.799975657114103,11.171998877999636,1,0,0,0
C2.3,0.03,0,3.3333333333333335,10.0,98039.2156862745,11111.11111111111,11.493122837674049,9.315700887634009,1,0,0,0
C2.3,0.03,0,5.0,14.0,147058.82352941175,4609.053497942387,11.898587945782213,8.43577779993073,1,0,0,0
C2.3,0.03,0,6.666666666666667,16.0,196078.431372549,2222.222222222222,12.186270018233994,7.706262975199909,1,0,0,0
C2.3,0.03,0,8.333333333333334,18.0,245098.03921568627,1280.0,12.409413569548203,7.154615356913663,1,0,0,0
C2.3,0.03,0,10.0,20.0,294117.6470588235,823.045267489712,12.591735126342158,6.713011202189626,1,0,0,0
C2.3,0.03,0,11.666666666666666,22.0,343137.2549019607,570.1328150307744,12.745885806169417,6.3458693425121755,1,0,0,0
C2.3,0.03,0,18.333333333333332,36.0,539215.6862745098,240.42073628850497,13.197870929912474,5.482390456380798,1,0,0,0
C2.3,0.03,0,1.6666666666666667,8.0,49019.60784313725,71111.11111111111,10.799975657114103,11.171998877999636,1,0,0,0
C2.3,0.03,0,3.3333333333333335,9.0,98039.2156862745,9999.999999999998,11.493122837674049,9.210340371976182,1,0,0,0
C2.3,0.03,0,5.0,12.0,147058.82352941175,3950.617283950618,11.898587945782213,8.28162712010347,1,0,0,0
C2.3,0.03,0,6.666666666666667,14.0,196078.431372549,1944.4444444444443,12.186270018233994,7.572731582575386,1,0,0,0
C2.3,0.03,0,8.333333333333334,16.0,245098.03921568627,1137.7777777777778,12.409413569548203,7.03683232125728,1,0,0,0
C2.3,0.03,0,10.0,18.0,294117.6470588235,740.7407407407409,12.591735126342158,6.607650686531799,1,0,0,0
C2.3,0.03,0,11.666666666666666,22.0,343137.2549019607,570.1328150307744,12.745885806169417,6.3458693425121755,1,0,0,0
C2.3,0.03,0,18.333333333333332,36.0,539215.6862745098,240.42073628850497,13.197870929912474,5.482390456380798,1,0,0,0
B2.2,0.045,4,1.6666666666666667,12.0,73529.41176470587,14046.639231824416,11.205440765222267,9.550138445566978,0,0,0,1
B2.2,0.045,4,5.0,16.0,220588.23529411762,693.6611966333046,12.304053053890378,6.541983652014429,0,0,0,1
B2.2,0.045,4,8.333333333333334,21.0,367647.0588235294,196.65294924554183,12.814878677656369,5.2814404962001,0,0,0,1
B2.2,0.045,4,11.666666666666666,26.0,514705.88235294115,88.72998542940596,13.15135091427758,4.48559788663452,0,0,0,1
B2.2,0.045,4,18.333333333333332,38.0,808823.5294117646,33.419251866349114,13.603336038020638,3.5091321371102517,0,0,0,1
B2.2,0.045,4,20.0,44.0,882352.9411764705,29.805754542837306,13.690347415010269,3.3947014803332376,0,0,0,1
B2.2,0.045,4,1.6666666666666667,13.0,73529.41176470587,15217.192501143118,11.205440765222267,9.630181153240514,0,0,0,1
B2.2,0.045,4,5.0,15.0,220588.23529411762,650.3073718437231,12.304053053890378,6.477445130876858,0,0,0,1
B2.2,0.045,4,8.333333333333334,21.0,367647.0588235294,196.65294924554183,12.814878677656369,5.2814404962001,0,0,0,1
B2.2,0.045,4,11.666666666666666,28.0,514705.88235294115,95.55536892397565,13.15135091427758,4.5597058587882415,0,0,0,1
B2.2,0.045,4,18.333333333333332,40.0,808823.5294117646,35.17815985931486,13.603336038020638,3.5604254314978023,0,0,0,1
B2.2,0.045,4,20.0,44.0,882352.9411764705,29.805754542837306,13.690347415010269,3.3947014803332376,0,0,0,1
B2.2,0.045,4,1.6666666666666667,13.0,73529.41176470587,15217.192501143118,11.205440765222267,9.630181153240514,0,0,0,1
